RawMessage	MessageCategory	|Count	:Count	last|	[anim]	[block]	[broken]	[consumed]	[damage]	[eat]	[fail]	[fatigue]	[from]	[fromitem]	[identify]	[miss]	[move]	[msg]	[notarget]	[of]	[partiallytrapped]	[silent]	[source]	[spread]	[still]	[true]	[upkeep]	[weak]	[weaken]	[wisher]	Generation
|tier|[Gen 1] Random Battle	tier	2	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|rule|HP Percentage Mod: HP is shown in percentages	rule	2	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|clearpoke	clearpoke	1	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|poke|p1|Hypno, L70|	poke	4	0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|teampreview	teampreview	1	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
"|request|{""active"":[{""moves"":[{""move"":""Seismic Toss"",""id"":""seismictoss"",""pp"":32,""maxpp"":32,""target"":""normal"",""disabled"":false},{""move"":""Thunder Wave"",""id"":""thunderwave"",""pp"":32,""maxpp"":32,""target"":""normal"",""disabled"":false},{""move"":""Hypnosis"",""id"":""hypnosis"",""pp"":32,""maxpp"":32,""target"":""normal"",""disabled"":false},{""move"":""Psychic"",""id"":""psychic"",""pp"":16,""maxpp"":16,""target"":""normal"",""disabled"":false}]}],""side"":{""name"":""colress-gpt"",""id"":""p1"",""pokemon"":[{""ident"":""p1: Hypno"",""details"":""Hypno, L70"",""condition"":""264/264"",""active"":true,""stats"":{""atk"":108,""def"":168,""spa"":231,""spd"":231,""spe"":163},""moves"":[""seismictoss"",""thunderwave"",""hypnosis"",""psychic""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Fearow"",""details"":""Fearow, L76"",""condition"":""255/255"",""active"":false,""stats"":{""atk"":212,""def"":174,""spa"":168,""spd"":168,""spe"":227},""moves"":[""drillpeck"",""hyperbeam"",""doubleedge"",""agility""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Arcanine"",""details"":""Arcanine, L76"",""condition"":""293/293"",""active"":false,""stats"":{""atk"":242,""def"":197,""spa"":197,""spd"":197,""spe"":220},""moves"":[""flamethrower"",""bodyslam"",""hyperbeam"",""fireblast""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Sandshrew"",""details"":""Sandshrew, L88"",""condition"":""267/267"",""active"":false,""stats"":{""atk"":218,""def"":236,""spa"":139,""spd"":139,""spe"":157},""moves"":[""earthquake"",""rockslide"",""swordsdance"",""bodyslam""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Gyarados"",""details"":""Gyarados, L73"",""condition"":""289/289"",""active"":false,""stats"":{""atk"":255,""def"":188,""spa"":218,""spd"":218,""spe"":191},""moves"":[""hydropump"",""blizzard"",""bodyslam"",""hyperbeam""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Raichu"",""details"":""Raichu, L75"",""condition"":""244/244"",""active"":false,""stats"":{""atk"":141,""def"":157,""spa"":209,""spd"":209,""spe"":224},""moves"":[""thunder"",""thunderbolt"",""surf"",""thunderwave""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""}]},""rqid"":4}"	request	2	121	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|start	start	1	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|switch|p1a: Hypno|Hypno, L70|264/264	switch	4	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|turn|1	turn	2	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|move|p2a: Ivysaur|Razor Leaf|p1a: Hypno	move	4	2	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-crit|p1a: Hypno	-crit	2	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-damage|p1a: Hypno|175/264	-damage	3	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|upkeep	upkeep	1	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
"|request|{""active"":[{""moves"":[{""move"":""Recharge"",""id"":""recharge""}],""trapped"":true}],""side"":{""name"":""colress-gpt"",""id"":""p1"",""pokemon"":[{""ident"":""p1: Persian"",""details"":""Persian, L74"",""condition"":""159/249 psn"",""active"":true,""stats"":{""atk"":177,""def"":162,""spa"":170,""spd"":170,""spe"":244},""moves"":[""hyperbeam"",""slash"",""bubblebeam"",""bodyslam""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Weezing"",""details"":""Weezing, L77"",""condition"":""258/258"",""active"":false,""stats"":{""atk"":215,""def"":261,""spa"":207,""spd"":207,""spe"":169},""moves"":[""sludge"",""thunderbolt"",""explosion"",""fireblast""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Nidorino"",""details"":""Nidorino, L83"",""condition"":""271/271"",""active"":false,""stats"":{""atk"":201,""def"":176,""spa"":173,""spd"":173,""spe"":190},""moves"":[""doublekick"",""bodyslam"",""thunderbolt"",""blizzard""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Gyarados"",""details"":""Gyarados, L73"",""condition"":""289/289"",""active"":false,""stats"":{""atk"":255,""def"":188,""spa"":218,""spd"":218,""spe"":191},""moves"":[""surf"",""thunderbolt"",""hyperbeam"",""blizzard""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Pidgey"",""details"":""Pidgey, L93"",""condition"":""263/263"",""active"":false,""stats"":{""atk"":175,""def"":165,""spa"":156,""spd"":156,""spe"":195},""moves"":[""mirrormove"",""agility"",""doubleedge"",""skyattack""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Exeggutor"",""details"":""Exeggutor, L66"",""condition"":""262/262"",""active"":false,""stats"":{""atk"":191,""def"":178,""spa"":231,""spd"":231,""spe"":138},""moves"":[""megadrain"",""explosion"",""psychic"",""sleeppowder""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""}]},""rqid"":6}"	request	2	100	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-mustrecharge|p1a: Persian	-mustrecharge	2	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-status|p1a: Persian|psn	-status	3	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|cant|p1a: Persian|recharge	cant	3	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-damage|p1a: Persian|144/249 psn|[from] psn|[of] p2a: Koffing	-damage	5	2	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	1
"|request|{""forceSwitch"":[true],""side"":{""name"":""colress-gpt"",""id"":""p1"",""pokemon"":[{""ident"":""p1: Persian"",""details"":""Persian, L74"",""condition"":""0 fnt"",""active"":true,""stats"":{""atk"":177,""def"":162,""spa"":170,""spd"":170,""spe"":244},""moves"":[""hyperbeam"",""slash"",""bubblebeam"",""bodyslam""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Weezing"",""details"":""Weezing, L77"",""condition"":""258/258"",""active"":false,""stats"":{""atk"":215,""def"":261,""spa"":207,""spd"":207,""spe"":169},""moves"":[""sludge"",""thunderbolt"",""explosion"",""fireblast""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Nidorino"",""details"":""Nidorino, L83"",""condition"":""271/271"",""active"":false,""stats"":{""atk"":201,""def"":176,""spa"":173,""spd"":173,""spe"":190},""moves"":[""doublekick"",""bodyslam"",""thunderbolt"",""blizzard""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Gyarados"",""details"":""Gyarados, L73"",""condition"":""289/289"",""active"":false,""stats"":{""atk"":255,""def"":188,""spa"":218,""spd"":218,""spe"":191},""moves"":[""surf"",""thunderbolt"",""hyperbeam"",""blizzard""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Pidgey"",""details"":""Pidgey, L93"",""condition"":""263/263"",""active"":false,""stats"":{""atk"":175,""def"":165,""spa"":156,""spd"":156,""spe"":195},""moves"":[""mirrormove"",""agility"",""doubleedge"",""skyattack""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Exeggutor"",""details"":""Exeggutor, L66"",""condition"":""262/262"",""active"":false,""stats"":{""atk"":191,""def"":178,""spa"":231,""spd"":231,""spe"":138},""moves"":[""megadrain"",""explosion"",""psychic"",""sleeppowder""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""}]},""noCancel"":true,""rqid"":10}"	request	2	97	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	1
|faint|p1a: Persian	faint	2	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-resisted|p2a: Koffing	-resisted	2	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|error|[Invalid choice] There's nothing to choose	error	2	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-supereffective|p2a: Ivysaur	-supereffective	2	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-unboost|p1a: Kabutops|spe|1	-unboost	4	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-start|p2a: Abra|Reflect	-start	3	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-fail|p2a: Abra	-fail	2	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-fail|p1a: Weezing|par	-fail	3	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-boost|p2a: Hitmonchan|spe|2	-boost	4	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|move|p1a: Kabutops|Body Slam|p2a: Hitmonchan|[miss]	move	5	2	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-miss|p1a: Kabutops	-miss	2	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-hint|In Gen 1, moves with 100% accuracy can still miss 1/256 of the time.	-hint	2	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-hitcount|p2a: Psyduck|2	-hitcount	3	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-fail|p2a: Magneton|move: Substitute	-fail	3	2	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|move|p1a: Pidgey|Mega Kick|p2a: Mankey|[from]Mirror Move|[miss]	move	6	2	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|move|p1a: Pidgey|Mega Kick|p2a: Mankey|[from]Mirror Move	move	5	2	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|win|colress-gpt	win	2	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-end|p2a: Magneton|Substitute	-end	3	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-heal|p2a: Venomoth|73/100|[from] drain|[of] p1a: Snorlax	-heal	5	2	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	1
|-status|p1a: Snorlax|slp|[from] move: Hypnosis	-status	4	2	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-curestatus|p1a: Snorlax|slp|[msg]	-curestatus	4	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	1
|-fail|p1a: Ninetales|move: Substitute|[weak]	-fail	4	2	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	1
|-start|p1a: Jynx|Mimic|Body Slam	-start	4	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-immune|p1a: Pidgeotto	-immune	2	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
"|request|{""forceSwitch"":[true],""side"":{""name"":""colress-gpt"",""id"":""p1"",""pokemon"":[{""ident"":""p1: Onix"",""details"":""Onix, L81"",""condition"":""0 fnt"",""active"":true,""stats"":{""atk"":153,""def"":339,""spa"":128,""spd"":128,""spe"":193},""moves"":[""explosion"",""bodyslam"",""rockslide"",""earthquake""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Parasect"",""details"":""Parasect, L78"",""condition"":""0 fnt"",""active"":false,""stats"":{""atk"":225,""def"":202,""spa"":202,""spd"":202,""spe"":124},""moves"":[""stunspore"",""spore"",""bodyslam"",""megadrain""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Chansey"",""details"":""Chansey, L68"",""condition"":""0 fnt"",""active"":false,""stats"":{""atk"":13,""def"":75,""spa"":211,""spd"":211,""spe"":136},""moves"":[""thunderbolt"",""softboiled"",""thunderwave"",""icebeam""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Blastoise"",""details"":""Blastoise, L76"",""condition"":""276/276"",""active"":false,""stats"":{""atk"":201,""def"":227,""spa"":204,""spd"":204,""spe"":194},""moves"":[""rest"",""blizzard"",""surf"",""bodyslam""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Kadabra"",""details"":""Kadabra, L73"",""condition"":""209/209"",""active"":false,""stats"":{""atk"":57,""def"":116,""spa"":248,""spd"":248,""spe"":226},""moves"":[""reflect"",""psychic"",""recover"",""thunderwave""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Squirtle"",""details"":""Squirtle, L91"",""condition"":""265/265"",""active"":false,""stats"":{""atk"":94,""def"":207,""spa"":180,""spd"":180,""spe"":167},""moves"":[""counter"",""seismictoss"",""blizzard"",""surf""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""}]},""rqid"":158}"	request	2	96	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	1
|-activate|p1a: Exeggutor|confusion	-activate	3	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-damage|p1a: Exeggutor|190/262|[from] confusion	-damage	4	1	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-heal|p2a: Blastoise|100/100 slp|[silent]	-heal	4	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	1
"|request|{""active"":[{""moves"":[{""move"":""Recharge"",""id"":""recharge""}]}],""side"":{""name"":""colress-gpt"",""id"":""p1"",""pokemon"":[{""ident"":""p1: Cloyster"",""details"":""Cloyster, L71"",""condition"":""177/218"",""active"":true,""stats"":{""atk"":205,""def"":326,""spa"":191,""spd"":191,""spe"":170},""moves"":[""hyperbeam"",""explosion"",""surf"",""blizzard""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Horsea"",""details"":""Horsea, L89"",""condition"":""0 fnt"",""active"":false,""stats"":{""atk"":77,""def"":212,""spa"":212,""spd"":212,""spe"":194},""moves"":[""hydropump"",""surf"",""agility"",""blizzard""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Venusaur"",""details"":""Venusaur, L74"",""condition"":""0 fnt"",""active"":false,""stats"":{""atk"":195,""def"":196,""spa"":221,""spd"":221,""spe"":192},""moves"":[""razorleaf"",""bodyslam"",""sleeppowder"",""hyperbeam""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Diglett"",""details"":""Diglett, L88"",""condition"":""0 fnt"",""active"":false,""stats"":{""atk"":183,""def"":130,""spa"":166,""spd"":166,""spe"":254},""moves"":[""earthquake"",""rockslide"",""bodyslam"",""slash""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Charmander"",""details"":""Charmander, L91"",""condition"":""0 fnt"",""active"":false,""stats"":{""atk"":184,""def"":167,""spa"":180,""spd"":180,""spe"":207},""moves"":[""bodyslam"",""fireblast"",""submission"",""swordsdance""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Abra"",""details"":""Abra, L83"",""condition"":""0 fnt"",""active"":false,""stats"":{""atk"":39,""def"":107,""spa"":256,""spd"":256,""spe"":231},""moves"":[""counter"",""psychic"",""seismictoss"",""thunderwave""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""}]},""rqid"":70}"	request	2	99	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-activate|p1a: Ninetales|Substitute|[damage]	-activate	4	1	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|tie	tie	1	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-transform|p2a: Ditto|p1a: Omastar	-transform	3	2	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|move|p2a: Moltres|Sky Attack||[still]	move	5	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	1
|-prepare|p2a: Moltres|Sky Attack	-prepare	3	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
|-heal|p1a: Mew|269/269	-heal	3	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
"|request|{""active"":[{""moves"":[{""move"":""Transform"",""id"":""transform"",""pp"":16,""maxpp"":16,""target"":""normal"",""disabled"":false}]}],""side"":{""name"":""colress-gpt"",""id"":""p1"",""pokemon"":[{""ident"":""p1: Ditto"",""details"":""Ditto"",""condition"":""299/299"",""active"":true,""stats"":{""atk"":194,""def"":194,""spa"":194,""spd"":194,""spe"":194},""moves"":[""transform""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Blastoise"",""details"":""Blastoise, L76"",""condition"":""0 fnt"",""active"":false,""stats"":{""atk"":201,""def"":227,""spa"":204,""spd"":204,""spe"":194},""moves"":[""rest"",""blizzard"",""surf"",""bodyslam""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Tauros"",""details"":""Tauros, L68"",""condition"":""243/243"",""active"":false,""stats"":{""atk"":204,""def"":197,""spa"":163,""spd"":163,""spe"":217},""moves"":[""blizzard"",""hyperbeam"",""bodyslam"",""earthquake""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Sandshrew"",""details"":""Sandshrew, L88"",""condition"":""267/267"",""active"":false,""stats"":{""atk"":218,""def"":236,""spa"":139,""spd"":139,""spe"":157},""moves"":[""earthquake"",""rockslide"",""bodyslam"",""swordsdance""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Charizard"",""details"":""Charizard, L74"",""condition"":""268/268"",""active"":false,""stats"":{""atk"":198,""def"":189,""spa"":199,""spd"":199,""spe"":221},""moves"":[""hyperbeam"",""swordsdance"",""fireblast"",""earthquake""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Alakazam"",""details"":""Alakazam, L67"",""condition"":""213/213"",""active"":false,""stats"":{""atk"":73,""def"":127,""spa"":248,""spd"":248,""spe"":228},""moves"":[""seismictoss"",""thunderwave"",""recover"",""psychic""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""}]},""rqid"":14}"	request	2	103	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
